45.146.165.37 - - [22/Jan/2022:00:11:10 -0500] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 5633 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /sitecore/shell/sitecore.version.xml HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /JSPWiki/ HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /unified-console.html HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /servlet/ HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /solr/#/ HTTP/1.1" 400 498 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /webtools/control/main HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /jbossws/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /invoker/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /administrator/manifests/files/joomla.xml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /jbossmq-httpil/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /status/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /administrator/language/en-GB/en-GB.xml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /language/en-GB/en-GB.xml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /joomla/administrator/manifests/files/joomla.xml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /joomla/administrator/language/en-GB/en-GB.xml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /joomla/language/en-GB/en-GB.xml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 5523 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /reviews HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login.action HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /console/App.html HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /php/login.php HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /CHANGELOG.txt HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /wordpress/readme.html HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /wordpress HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /wordpress/wp-login.php HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /index.php/login HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /index.php?title=Main_Page HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /mediawiki/index.php?title=Main_Page HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /index.php HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /version HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /version/openshift HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /version HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /configurations.do HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /configurations.do HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /web/guest/home HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /jira/secure/Dashboard.jspa HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /secure/Dashboard.jspa HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /login.jsp HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /jira/secure/Dashboard.jspa HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /secure/Dashboard.jspa HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /login.jsp HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /jira/secure/Dashboard.jspa HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /secure/Dashboard.jspa HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /login.jsp HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /crowd/console/login.jsp HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /login.aspx HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /home.aspx HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /opencrx-core-CRX/Login.jsp HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /version HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /Orion/Login.aspx HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /cgi-bin/welcome HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /userportal/webpages/myaccount/login.jsp HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /webconsole/webpages/login.jsp HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /ui/login.action HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /hpdm/ HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /sitecore/shell/sitecore.version.xml HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /JSPWiki/ HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /unified-console.html HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /solr/#/ HTTP/1.1" 400 665 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET /webtools/control/main HTTP/1.1" 404 606 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET / HTTP/1.1" 200 1133 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:53 -0500] "GET / HTTP/1.1" 200 5523 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:54 -0500] "GET /console/faces/com_sun_web_ui/jsp/version/version_30.jsp HTTP/1.1" 404 435 "-" "Sun Web Console Fingerprinter/7.15"
216.93.144.47 - - [22/Jan/2022:01:18:54 -0500] "GET /console/faces/com_sun_web_ui/jsp/version/version_4.jsp HTTP/1.1" 404 435 "-" "Sun Web Console Fingerprinter/7.15"
216.93.144.47 - - [22/Jan/2022:01:18:54 -0500] "GET /phpmyadmin/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:54 -0500] "GET /console/faces/com_sun_web_ui/jsp/version/version_30.jsp HTTP/1.1" 404 4996 "-" "Sun Web Console Fingerprinter/7.15"
216.93.144.47 - - [22/Jan/2022:01:18:54 -0500] "GET /console/faces/com_sun_web_ui/jsp/version/version_4.jsp HTTP/1.1" 404 4996 "-" "Sun Web Console Fingerprinter/7.15"
216.93.144.47 - - [22/Jan/2022:01:18:54 -0500] "GET /phpmyadmin/ HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:42 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:42 -0500] "GET /login.htm HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:42 -0500] "GET / HTTP/1.1" 200 5523 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:42 -0500] "GET /login.html HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:42 -0500] "GET /login.shtml HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:42 -0500] "GET /default.htm HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:42 -0500] "GET /login.htm HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:43 -0500] "GET /login.html HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:44 -0500] "GET /login.shtml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:45 -0500] "GET /default.htm HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:46 -0500] "GET /default.html HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:47 -0500] "GET /default.shtml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:48 -0500] "GET /index.htm HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /index.html HTTP/1.1" 200 5523 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /index.shtml HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /server-status?auto HTTP/1.1" 403 438 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET / HTTP/1.1" 417 651 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /cgi-bin/phf?Qalias=%0A/bin/cat%20/etc/passwd HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /cgi-bin/printenv HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /default.html HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /server-info?mod_info.c HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /cgi-bin/test-cgi HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "<SCRIPT>NXSSTEST</SCRIPT> / HTTP/1.1" 400 498 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /server-status?refresh=1;http://example.com HTTP/1.1" 403 438 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /server-status?refresh=1;http://example.com HTTP/1.1" 403 438 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /server-status?refresh=1;http://example.com HTTP/1.1" 403 438 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /doc/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /cgi-bin/rpm_query HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "PROPFIND / HTTP/1.1" 405 503 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /error/%2e%2e%5cconf%5chttpd.conf HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /server-status?auto HTTP/1.1" 403 438 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /server-status?auto HTTP/1.1" 403 438 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /Orion/Login.aspx HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "POST /xmlrpc.php HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "POST /serendipity/serendipity_xmlrpc.php HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "POST /lucee/admin/ext.applications.upload.cfm HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /Orion/Login.aspx HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /cgi-bin/htsearch?Exclude=%60/etc/passwd%60 HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "POST /serendipity/xmlrpc.php HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /Orion/Login.aspx HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /Orion/Login.aspx HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "POST /mifs/.;/services/LogService HTTP/1.1" 404 435 "https://www.rapid7.com/" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /docs/htdocs HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /jkstatus/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /spiffymcgee.rpd7 HTTP/1.1" 400 498 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /spiffymcgee.rpd7 HTTP/1.1" 400 498 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /server-status?auto HTTP/1.1" 403 438 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /doc/packages/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /cgi-bin/php.ini HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "GET /CFIDE/administrator/enter.cfm?locale=../../../../../../../lib/password.properties%00en HTTP/1.1" 404 432 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:20:49 -0500] "POST /drupal/xmlrpc.php HTTP/1.1" 404 435 "-" "-"
